Date,Actual,ARIMA-Total,SARIMAX-Total,LightGBM-Total,ARIMA-Zone,SARIMAX-Zone,LightGBM-Zone,ARIMA-Type,SARIMAX-Type,LightGBM-Type,LSTM-Type,Transformer-Type,Transformer-Zone,LSTM-Total,Transformer-Total,LSTM-Zone
2019-05-16,7447.973953485702,7633.9687037039375,7847.1003663412785,6984.070467519299,7314.522847076136,8366.119073814267,7935.009594462825,7314.522847076136,8901.923263412195,7322.617945762907,8244.872985839844,7852.401000976562,6869.4029541015625,7436.25244141,7540.54736328,7431.59375
2019-05-17,7960.191453485703,7944.31444652325,8174.131608293018,7162.434096386452,7292.853727520382,8005.748994481356,7696.839000849758,7292.853727520382,8137.848008380528,7587.986751009473,7995.779174804687,7608.279052734375,7297.416442871094,7956.89599609,7540.54736328,7936.21820068
2019-05-18,3906.228286819036,3293.288590487024,4107.9051850067,3302.90819656863,3770.550269477206,3405.9443250446952,3549.6346842639464,3770.550269477206,3827.7384367317336,3351.382808320956,3408.3678588867188,3748.152465820313,3190.8411560058594,3977.95556641,3742.91723633,3990.96105957
2019-05-19,3736.245286819037,3441.3416108596684,4890.650142511552,3286.319514685245,3343.886324175748,3779.705905353204,3455.105658391421,3343.886324175748,4228.886923320291,3278.8878916306835,3408.3678588867188,3725.348510742188,3058.4050903320312,3733.00292969,3742.91723633,3831.50677299
2019-05-20,3788.835453485702,6163.442061190062,3607.4489046750937,3537.601238167181,6473.620505477219,3539.524349422424,3507.386209312396,6473.620505477219,3447.5676343051086,4789.806227233416,3408.3678588867188,3759.521484375,3173.7976989746094,3827.19116211,3574.7487793,3764.39178085
2019-05-21,9553.003953485704,7098.538583958743,8077.954434907042,7798.043561647218,7610.6815065342835,7946.789492421274,7937.898559531093,7610.6815065342835,8070.661940161117,6822.022874980589,7995.779418945312,7873.178894042969,8690.624572753906,9644.453125,8378.01074219,9617.3659668
2019-05-22,8628.278120152369,7353.09973767089,8015.3969741342335,7651.772920223978,7989.595223137796,8284.93501098691,8285.109962279033,7989.595223137796,7724.122817448156,7194.978864439131,7995.779418945312,7613.335144042969,8229.872009277344,8623.3359375,8378.01074219,8843.2722168
2019-05-23,7873.666620152372,7725.1427268687,8330.27183837166,7588.102794222852,8049.788940645871,8000.111847760121,7902.9954822154095,8049.788940645871,7848.908062178244,6414.295467839535,7995.779418945312,7491.908264160156,7315.748474121094,7920.43994141,8378.01074219,7917.75134277
2019-05-24,7908.749286819037,7853.490752769694,8052.455605389438,7616.121291318032,7638.59518197862,7957.050747865069,7159.244063514496,7638.59518197862,7306.737410815934,7250.870018524856,7945.142761230469,7603.542114257812,7030.053588867188,7950.93212891,8378.01074219,7968.11547852
2019-05-25,3693.2651201523695,3458.64315942895,4121.56563105204,4068.812256314483,3848.570878093792,3593.646077747806,3574.753283392145,3848.570878093792,4084.9119558062735,4579.519319011821,3289.7486877441406,3275.7267456054688,3207.2296752929688,3718.00195312,3574.7487793,3517.37748337
2019-05-26,3385.2226201523704,3419.838015114265,3536.3029301069955,3395.501694473748,3608.969647764833,3422.985996115158,3024.3319512191265,3608.969647764833,3785.156479868043,3309.465778576494,3289.7486877441406,3343.306030273437,2872.533905029297,3396.64208984,3574.7487793,3417.96773911
2019-05-27,8476.247300700627,5832.685355445643,8370.712095184412,8641.389497240878,5868.519738425683,7677.258954745591,7452.5296838478,5868.519738425683,8297.735717411964,7575.538655336805,7945.142761230469,8837.785217285156,8053.010559082031,8488.5546875,8006.55175781,8447.19702148
2019-05-28,8433.757833333331,7132.737225220917,8025.798531733484,8530.31328183829,7598.374474040639,7682.507961072119,7894.152437115881,7598.374474040639,8211.45785757059,8195.430782214464,7945.143249511719,8345.61474609375,8057.8297119140625,8457.00390625,8006.55175781,8469.07202148
2019-05-29,8046.901166666665,7671.757433964307,8574.45311957934,8875.655993117629,8278.011227652583,8274.578977278157,8393.506046017528,8278.011227652583,8201.067196357279,8304.868925967045,7945.143249511719,7715.445739746094,7179.640197753906,8058.08837891,8006.55175781,8006.70703125
2019-05-30,7318.060666666663,7868.912264481555,8885.821631683999,7918.758866169354,7950.431926831568,8616.361360794213,7945.85142589811,7950.431926831568,8186.259955308355,8037.317767910086,7945.142761230469,7828.818969726562,6777.674682617188,7285.06835938,8006.55175781,7258.6842041
2019-05-31,8240.911833333335,7412.8530817333085,8254.098826170255,7869.032882217516,7907.98245470387,7970.733111800989,7917.546460986537,7907.98245470387,7995.2713142367265,9099.76310761057,8144.5555419921875,7702.759704589844,7574.951354980469,8244.4296875,8006.55175781,8264.45812988
2019-06-01,4017.448666666668,3674.725375869096,4236.037837457897,4541.046951546518,3783.4279679844217,3508.8936065464,3607.349284420208,3783.4279679844217,3733.575324591159,3645.525615148412,3302.977905273437,3797.29541015625,3686.688232421875,4004.87670898,3424.16162109,3967.2638855
2019-06-02,2967.561166666666,3741.828034080568,4816.445314380432,3958.3285169464384,3426.208240114474,3845.4482791591104,3743.8597953291264,3426.208240114474,4226.728746930475,3532.8936531802374,3302.9776611328125,2792.626953125,2575.679931640625,2960.82958984,3424.16162109,2922.00772476
2019-06-03,3363.9690000000014,6476.64383704424,3808.329184690344,2424.257872755434,5966.815902576668,3324.581934585808,5129.9854988135485,5966.815902576668,3637.2175120981633,4040.894175649689,3302.9775390625,3225.9762573242188,2938.8629150390625,3355.35473633,3323.20166016,3361.27285385
2019-06-04,9005.017333333331,7890.744054087196,8556.20320399056,8128.505792184143,7989.501953155031,7984.250366958782,7973.089504184894,7989.501953155031,7836.45146189037,8914.738251492163,8144.555358886719,8575.299133300781,8343.191040039062,9055.31835938,8142.46875,8923.13269043
2019-06-05,8490.448000000004,7154.207296304927,8323.861359652146,8191.473513474771,7835.517357278457,7945.649312984421,7926.254330290738,7835.517357278457,8218.790672664118,8527.643430462564,8144.555358886719,8359.035827636719,7805.2996826171875,8493.93457031,8142.46875,8442.33978271
2019-06-06,8008.851333333332,7256.015860188052,7567.551952539052,7456.323879070816,7922.487053626068,7930.489901506341,7603.292798636367,7922.487053626068,7532.423724896296,7194.3719505976815,8144.555358886719,7905.005981445312,7091.133056640625,8063.83007812,8142.46875,8003.55072021
2019-06-07,7661.948,7113.148356715407,8292.813739878622,6067.689065215403,7609.356149100419,8163.298915806259,7040.760494478577,7609.356149100419,7934.031183060079,7269.435409345911,7979.445617675781,7167.274719238281,6610.992065429688,7653.36816406,8142.46875,7594.62567139
2019-06-08,3513.505666666667,3440.212405346027,4393.823849263344,3256.2295743611426,3723.173013419461,3814.522034701722,3069.524949733905,3723.173013419461,3718.496180757622,3420.55308511178,2944.627990722656,3310.4451293945312,3095.991577148437,3557.12036133,3323.20166016,3487.75833893
2019-06-09,3413.1968333333334,3445.334930820908,4623.792319379158,2346.9586271350104,3403.086561039639,3672.084118128953,2954.4693814703137,3403.086561039639,3968.74210947062,3374.265236725038,2944.627990722656,3092.089599609375,3001.6190185546875,3448.99951172,3323.20166016,3295.38175583
2019-06-10,8232.676833333333,5391.50290404511,7824.269873108709,8577.502647425188,5938.606952326883,7836.546398436975,8209.015592587302,5938.606952326883,7721.947186750847,7654.155558844917,7979.445617675781,7897.252258300781,7702.877990722656,8221.71289062,8008.00634766,8219.31573486
2019-06-11,7942.742833333335,7396.557594520899,7820.587108076414,8775.739564134961,7564.970582999963,7738.650188336921,8565.20217212889,7564.970582999963,8168.489137141581,7586.5369668127505,7979.445617675781,7906.116333007812,7013.134765625,7857.56054688,8008.00634766,7912.07418823
2019-06-12,7169.710166666666,8229.956823039436,7868.685707736538,8189.791620317508,8051.708786090266,7762.821185806423,8486.42068580267,8051.708786090266,8557.241353919015,8641.022552094675,7979.445617675781,7725.053344726562,7008.637390136719,7574.38183594,8008.00634766,7132.41479492
2019-06-13,8241.615499999998,8243.95981267773,8084.964291377612,7505.279649801686,7596.780487632082,8101.080600853089,8189.422681819497,7596.780487632082,7927.747180105101,8571.98946201452,7979.445617675781,7107.879943847656,7335.648864746094,8215.80859375,8008.00634766,8169.51330566
2019-06-14,7803.790666666664,8129.845230905988,7793.821409700706,7133.872497883419,7708.897195959515,8078.715816226509,8182.146035348271,7708.897195959515,7852.6597741611,8197.649067019229,7975.223388671875,7870.210327148437,7382.6552734375,7730.09082031,8008.00634766,7755.67840576
2019-06-15,3777.664833333333,4033.194070678068,3700.466885815944,3766.134340465062,3640.97096293132,3710.777333250127,3571.5389004553235,3640.97096293132,3349.427381813717,3473.2600081248893,3207.7905883789062,3750.0993041992174,3512.6075134277344,3797.34179688,3522.4440918,3805.85882568
2019-06-16,3267.886,3332.1709561892294,3862.858513963978,3541.177366352598,3375.466792593553,3575.8497624577985,3118.7726617714457,3375.466792593553,3486.0735988233805,2742.524878955737,3207.7905883789062,3279.042724609375,3297.8473205566406,3277.05688477,3522.4440918,3309.61993408
2019-06-17,7430.25966666667,5504.334630541879,7696.172567178232,7822.646108543587,5621.660208211184,7472.531969730055,7513.03070823749,5621.660208211184,7551.578858285639,6284.529575352133,7975.223388671875,8503.320922851562,6987.856994628906,7390.00585938,7532.91601562,7441.56994629
2019-06-18,7912.645999999998,8145.312196620968,8231.573231302504,8951.13088658924,8210.903608685061,8164.937162479938,8600.214217479552,8210.903608685061,7993.717750518577,8681.53531805564,7975.223388671875,7694.0738525390625,7236.1761474609375,7903.71289062,7532.91601562,7960.23632812
2019-06-19,7282.155333333328,7881.41371390307,8311.509087916753,7784.333221243105,7797.13950537958,8269.577230487334,8117.70685641739,7797.13950537958,8042.254747022881,8138.250786693075,7975.223388671875,7075.523010253906,6847.546508789063,7294.09570312,7532.91601562,7292.3286438
2019-06-20,7504.352333333333,7717.996099587948,7966.952449315066,7744.068161986757,7975.786560197394,7990.980897949224,7973.330191022899,7975.786560197394,7679.424668524287,7711.27724969056,7975.223388671875,7893.533264160156,7105.616149902344,7486.16308594,7532.91601562,7565.84857178
2019-06-21,7784.826999999997,7705.282988981307,7472.308780893301,8207.634209309466,7695.627683620215,7740.921326014786,7755.2314119948305,7695.627683620215,7390.333722539226,7731.71732651322,7661.815673828125,7471.515502929687,7233.887268066406,7752.49414062,7532.91601562,7741.3236084
2019-06-22,2715.2000000000007,3837.022821525565,3749.6431718195167,3753.604812976775,3977.4871044990527,3937.9388262895545,4182.442770315936,3977.4871044990527,3978.154192102599,3685.192202886516,2825.0396728515625,2909.4947509765625,2308.3423767089844,2704.2902832,2541.70361328,2623.03321838
2019-06-23,2276.8338333333327,3301.611089592182,3617.439489725439,2635.6664096665,3091.94678055076,3576.982892665768,3596.632349933762,3091.94678055076,3454.981502906414,3554.715615410292,2825.0396728515625,2363.2361755371094,1788.4258422851562,2246.50830078,2541.70361328,2238.0815773
2019-06-24,8139.728333333333,5802.877063168883,7585.448935833438,7921.188798874118,5965.5891023667655,7380.160707178912,7581.198947766203,5965.5891023667655,7540.396635925723,7839.328886828628,7661.815673828125,7616.386291503906,7314.053405761719,8176.65576172,7962.21484375,8120.28424072
2019-06-25,7858.093666666664,7677.337782347713,7573.257193834777,8011.618841589177,7588.933857777661,7173.231685707831,8185.7337851537395,7588.933857777661,7329.047607232934,8616.955169595047,7661.815673828125,7773.899963378906,7301.25341796875,7862.59716797,7962.21484375,7883.93664551
2019-06-26,8152.741333333333,7790.5416304832,7538.656921757332,7299.523531340331,7517.971337645921,7103.990833346435,7738.057140022879,7517.971337645921,7681.000098608087,8214.935933245915,7661.815673828125,7211.9456787109375,7324.988159179687,8177.9453125,7962.21484375,8207.55102539
2019-06-27,7779.205333333335,8027.014924147383,7624.342634449764,7007.035272360596,7433.905619349536,7598.579635832118,7804.817426210112,7433.905619349536,7525.0745839098,7920.896387006923,7661.815673828125,7468.609375,7093.5084228515625,7785.48193359,7962.21484375,7826.25061035
2019-06-28,7829.340833333334,8152.976143951058,7749.051960377758,7790.957713096169,7398.923463030638,7652.393301998722,7924.667569740613,7398.923463030638,7793.805516099499,7741.95341982924,8129.422058105469,7824.3582763671875,7058.684387207031,7836.95556641,7962.21484375,7691.68753052
